Ticket_ID,Date,Equipment_Type,Location,Downtime_Hours,Failure_Type
20001,2024-06-03,Compressor,Plant C,4,Overheating
20002,2024-05-28,Compressor,Plant B,9,Mechanical Failure
20003,2024-12-08,Generator,Plant A,1,Short Circuit
20004,2024-02-21,Motor,Plant A,16,Overheating
20005,2024-09-07,Motor,Plant B,23,Mechanical Failure
20006,2024-05-26,Transformer,Plant B,3,Overheating
20007,2024-11-24,Transformer,Plant A,6,Overheating
20008,2024-12-15,Generator,Plant B,13,Electrical Fault
20009,2024-09-14,Generator,Plant B,17,Mechanical Failure
20010,2024-09-29,Generator,Plant A,15,Mechanical Failure
20011,2024-05-04,Panel,Plant B,21,Mechanical Failure
20012,2024-07-22,Motor,Plant C,12,Mechanical Failure
20013,2024-09-12,Generator,Plant A,8,Electrical Fault
20014,2024-05-10,Motor,Plant C,16,Electrical Fault
20015,2024-01-21,Compressor,Plant B,3,Short Circuit
20016,2024-03-18,Compressor,Plant B,4,Mechanical Failure
20017,2024-11-30,Motor,Plant C,7,Overheating
20018,2024-02-20,Compressor,Plant B,15,Electrical Fault
20019,2024-12-27,Compressor,Plant B,11,Overheating
20020,2024-12-26,Compressor,Plant C,16,Overheating
20021,2024-09-22,Transformer,Plant B,22,Overheating
20022,2024-04-25,Transformer,Plant A,14,Short Circuit
20023,2024-02-24,Motor,Plant C,23,Short Circuit
20024,2024-10-18,Motor,Plant C,13,Mechanical Failure
20025,2024-02-20,Panel,Plant C,9,Electrical Fault
20026,2024-11-25,Transformer,Plant C,18,Mechanical Failure
20027,2024-09-29,Motor,Plant A,3,Short Circuit
20028,2024-09-10,Transformer,Plant C,20,Short Circuit
20029,2024-03-01,Panel,Plant C,22,Overheating
20030,2024-12-12,Motor,Plant B,5,Mechanical Failure
20031,2024-12-16,Motor,Plant C,22,Overheating
20032,2024-08-12,Motor,Plant B,2,Short Circuit
20033,2024-12-01,Motor,Plant C,22,Mechanical Failure
20034,2024-04-12,Generator,Plant C,21,Mechanical Failure
20035,2024-02-17,Transformer,Plant A,17,Electrical Fault
20036,2024-08-12,Transformer,Plant B,16,Short Circuit
20037,2024-12-07,Transformer,Plant A,20,Short Circuit
20038,2024-08-20,Panel,Plant B,13,Electrical Fault
20039,2024-03-10,Generator,Plant C,20,Short Circuit
20040,2024-02-16,Transformer,Plant A,11,Overheating
20041,2024-08-15,Transformer,Plant B,8,Overheating
20042,2024-01-10,Motor,Plant B,21,Overheating
20043,2024-07-03,Motor,Plant A,5,Mechanical Failure
20044,2024-03-20,Motor,Plant B,2,Overheating
20045,2024-01-13,Transformer,Plant C,4,Short Circuit
20046,2024-11-09,Motor,Plant B,3,Electrical Fault
20047,2024-12-05,Transformer,Plant C,2,Overheating
20048,2024-11-19,Panel,Plant B,3,Overheating
20049,2024-03-24,Panel,Plant A,16,Mechanical Failure
20050,2024-03-26,Compressor,Plant C,20,Short Circuit
20051,2024-06-05,Generator,Plant B,9,Electrical Fault
20052,2024-05-23,Motor,Plant C,6,Short Circuit
20053,2024-03-03,Motor,Plant A,15,Overheating
20054,2024-02-12,Generator,Plant B,5,Short Circuit
20055,2024-06-06,Generator,Plant B,9,Electrical Fault
20056,2024-07-03,Compressor,Plant C,6,Overheating
20057,2024-10-12,Generator,Plant A,3,Short Circuit
20058,2024-11-18,Transformer,Plant A,23,Electrical Fault
20059,2024-01-24,Motor,Plant B,13,Overheating
20060,2024-12-22,Generator,Plant C,22,Overheating
20061,2024-07-23,Transformer,Plant B,15,Short Circuit
